ISO3,Country,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in Education (2010),Inequality in Education (2011),Inequality in Education (2012),Inequality in Education (2013),Inequality in Education (2014),Inequality in Education (2015),Inequality in Education (2016),Inequality in Education (2017),Inequality in Education (2018),Inequality in Education (2019),Inequality in Education (2020),Inequality in Education (2021)
FJI,Fiji,High,EAP,99.0,11.85438786,11.85438786,11.85438786,11.85438786,11.85438786,,,2.636659279,2.636659279,2.636659279,2.636659279,2.636659279
STP,Sao Tome and Principe,Medium,SSA,138.0,19.992,19.992,19.992,19.992,18.30533,18.30533,18.30533,18.30533,18.30533,18.69702,18.69702,18.69702
KEN,Kenya,Medium,SSA,152.0,26.01787,26.01787,26.01787,26.01787,22.89552,22.89552,22.89552,22.89552,22.89552,22.89552,22.89552,22.89552
ISR,Israel,Very High,,22.0,8.52947,8.431034,7.632879,6.972077,6.736993,6.604792,6.556548,6.58256,6.272,6.272,6.272,6.272
TJK,Tajikistan,Medium,ECA,122.0,,,6.54325,6.54325,6.54325,6.54325,6.54325,6.03825,6.03825,6.03825,6.03825,6.03825
CRI,Costa Rica,Very High,LAC,58.0,13.8051,12.91043,13.01343,12.42771,12.2896,11.91329,12.18311,11.9393,11.58937,11.57677,11.57677,11.57677
BOL,Bolivia,Medium,LAC,118.0,23.6719,21.6249,20.53567,19.90639,20.20261,19.81948,19.3384,19.30221,17.56781,16.54294,16.54294,16.54294
LCA,Saint Lucia,High,LAC,106.0,26.66745775,26.66745775,26.66745775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775,27.30567775
TKM,Turkmenistan,High,ECA,91.0,5.24207,5.24207,,,,,3.55428,3.55428,3.55428,2.94467,2.94467,2.94467
SYR,Syrian Arab Republic,Medium,AS,150.0,28.7093834,28.7093834,28.7093834,28.7093834,28.7093834,28.7093834,,,,,,
KNA,Saint Kitts and Nevis,High,LAC,75.0,,,,,,,,,,,,
AND,Andorra,Very High,,40.0,15.1603022,15.1603022,15.1603022,15.1603022,9.965680746,10.08381514,10.00815435,10.00815435,10.00815435,10.00815435,10.00815435,10.00815435
JAM,Jamaica,High,LAC,110.0,,5.60595,5.60595,5.60595,5.60595,5.60595,5.60595,5.60595,6.51579,6.51579,6.51579,6.51579
PHL,Philippines,Medium,EAP,116.0,13.5,13.5,13.5,11.5562,11.5562,11.5562,11.5562,10.0958,10.0958,10.0958,10.0958,10.0958
MKD,North Macedonia,High,ECA,78.0,17.466,10.53734,10.53734,10.53734,10.53734,10.53734,10.53734,10.53734,8.36817,8.36817,8.36817,8.36817
BTN,Bhutan,Medium,SA,127.0,44.81067,44.81067,44.81067,44.81067,44.81067,44.81067,44.81067,48.22657529,48.22657529,48.22657529,48.22657529,48.22657529
TON,Tonga,High,EAP,91.0,,5.061193561,5.061193561,5.061193561,5.061193561,5.061193561,5.061193561,,,4.30943,4.30943,4.30943
GNQ,Equatorial Guinea,Medium,SSA,145.0,,,,,,,,,,,,
LSO,Lesotho,Low,SSA,168.0,24.3,24.3,24.3,24.3,21.91631,21.91631,21.91631,21.91631,19.55712,19.55712,19.55712,19.55712
PSE,"Palestine, State of",High,AS,106.0,15.85324071,15.28299815,14.07345231,13.15799453,12.93877784,12.3565705,11.85291072,11.67327546,10.97456434,10.97456434,10.97456434,10.97456434
COM,Comoros,Medium,SSA,156.0,,,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438,47.61438
BHS,Bahamas,Very High,LAC,55.0,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819,6.917101819
NZL,New Zealand,Very High,,13.0,1.568288077,1.817445878,1.809828984,1.809828984,1.810199062,1.772488496,1.840131778,1.840131778,1.840131778,1.840131778,1.840131778,1.840131778
SWZ,Eswatini,Medium,SSA,144.0,26.81536,26.81536,26.81536,26.81536,24.10655,24.10655,24.10655,24.10655,24.10655,24.10655,24.10655,24.10655
DEU,Germany,Very High,,9.0,,2.40336,2.44114,2.58042,2.60524,2.60524,2.7227,2.7227,2.7227,2.6632,2.6632,2.6632
VCT,Saint Vincent and the Grenadines,High,LAC,89.0,,,,,,,,9.166052393,9.166052393,9.166052393,9.166052393,9.166052393
QAT,Qatar,Very High,AS,42.0,19.05350472,19.88182141,18.42700576,14.11868629,13.59400339,13.59400339,11.76445408,11.22725944,11.22725944,11.22725944,11.22725944,11.22725944
COD,The Democratic Republic of the Congo,Low,SSA,179.0,29.396,29.396,29.396,29.396,27.69055,27.69055,27.69055,26.76947,26.76947,26.76947,26.76947,26.76947
YEM,Yemen,Low,AS,183.0,48.09012,48.09012,48.09012,46.13765,46.13765,46.13765,46.13765,46.13765,46.13765,46.13765,46.13765,46.13765
TUR,Turkey,Very High,ECA,48.0,17.50469907,15.96866601,15.14693145,15.0250357,14.73859489,14.59371053,14.06143585,13.64287582,13.64287582,13.64287582,13.64287582,13.64287582
LIE,Liechtenstein,Very High,,16.0,,,,,,,,,,,,
MLT,Malta,Very High,,23.0,5.5195,5.73251,7.31224,5.98891,6.6693,6.86637,6.86637,6.69493,6.18818,6.18818,5.19238,5.19238
SEN,Senegal,Low,SSA,170.0,44.579,44.579,44.579,44.22756,44.74737,45.28813,46.45389,45.98846,46.36412,47.1353,47.1353,47.1353
AZE,Azerbaijan,High,ECA,91.0,3.727167133,3.73117071,3.702155473,3.515669662,3.491245651,3.537645367,3.549496613,3.56506161,3.56506161,3.56506161,3.56506161,3.56506161
PRK,North Korea,,EAP,,,,,,,,,,,,,
SDN,Sudan,Low,AS,172.0,42.67139,42.67139,42.67139,42.67139,42.45021,42.45021,42.45021,42.45021,42.45021,42.45021,42.45021,42.45021
PAN,Panama,Very High,LAC,61.0,13.0942797,13.78346927,13.42170525,13.59583562,13.12639155,12.51679831,12.56513417,12.15230059,11.37222672,11.37222672,11.37222672,11.37222672
GRC,Greece,Very High,,33.0,11.26785,11.26785,11.62377,11.6945,14.16485,13.28169,13.11876,12.77045,11.06794,11.06794,11.73784,11.73784
GAB,Gabon,High,SSA,112.0,,,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992,23.47992
MDG,Madagascar,Low,SSA,173.0,30.1,30.1,35.01448,35.01448,35.01448,35.01448,35.01448,35.01448,29.34582,29.34582,29.34582,29.34582
UGA,Uganda,Low,SSA,166.0,32.2,29.37211,29.37211,29.37211,29.37211,29.37211,27.91438,27.91438,27.91438,27.91438,27.91438,27.91438
HND,Honduras,Medium,LAC,137.0,25.34126,25.07937,24.34048,24.41458,23.57479,23.37398,22.78421,23.34274,22.44937,21.61233,21.61233,21.61233
PLW,Palau,High,EAP,80.0,,,,2.180765728,2.180765728,2.180765728,2.180765728,2.180765728,2.180765728,2.180765728,2.180765728,2.180765728
ARE,United Arab Emirates,Very High,AS,26.0,,,,,,,18.24143743,14.47533507,12.63435527,12.63435527,12.63435527,12.63435527
VUT,Vanuatu,Medium,EAP,140.0,17.49305,17.49305,17.49305,17.49305,17.49305,,,,,,,
CHN,China,High,EAP,79.0,11.46872762,11.46872762,11.46872762,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68
AUT,Austria,Very High,,25.0,2.48836,3.66724,3.48986,4.29767,2.65811,2.60756,2.57064,2.9996,2.91745,2.91745,2.52241,2.52241
ITA,Italy,Very High,,30.0,13.12758,11.67765,10.55974,9.85659,11.46944,10.45736,10.45736,10.97711,10.60056,10.05442,10.05442,10.05442
AUS,Australia,Very High,,5.0,2.74642733,2.477821088,2.475141691,2.935538521,2.832900537,2.72096402,2.672566064,3.043233164,3.056569899,3.056569899,3.056569899,3.056569899
FRA,France,Very High,,28.0,9.43536,8.64799,7.96173,7.50871,8.6482,8.23988,8.59672,9.135,9.48623,9.48623,7.72173,7.72173
SLB,Solomon Islands,Medium,EAP,155.0,22.82,,,,,,,,,,,
SLE,Sierra Leone,Low,SSA,181.0,48.723,48.723,48.723,47.29928,47.29928,47.29928,47.29928,46.92677,46.92677,47.50289,47.50289,47.50289
GIN,Guinea,Low,SSA,182.0,42.0,42.0,48.26536,48.26536,48.26536,48.26536,48.26536,48.26536,50.12411,50.12411,50.12411,50.12411
NLD,Netherlands,Very High,,10.0,3.92241,4.12502,4.05123,4.248,4.49909,4.56792,5.30548,4.92932,5.3671,5.3671,4.86674,4.86674
HRV,Croatia,Very High,,40.0,,,4.33104,4.41647,4.9891,5.16336,5.0064,4.93405,4.67412,4.67412,4.24197,4.24197
CIV,Ivory Coast,Medium,SSA,159.0,43.2,43.2,45.11142,45.11142,45.11142,45.11142,45.60904,45.60904,45.60904,45.60904,45.60904,45.60904
HUN,Hungary,Very High,,46.0,4.08192,3.48215,3.18778,3.11786,3.09017,2.95528,3.21994,3.19396,3.11063,3.11063,2.86309,2.86309
JOR,Jordan,High,AS,102.0,22.4,22.4,16.9017,16.9017,16.9017,16.9017,16.9017,15.44186,15.44186,15.44186,15.44186,15.44186
NPL,Nepal,Medium,SA,143.0,42.5,41.37719,41.37719,41.37719,43.89112,43.89112,40.881,40.881,40.881,41.0992,41.0992,41.0992
BGR,Bulgaria,High,,68.0,6.14738,5.80724,5.51671,5.46531,6.42343,6.7133,6.51633,6.32881,6.09875,6.09875,5.93179,5.93179
BLZ,Belize,Medium,LAC,123.0,,15.85449,15.85449,15.85449,15.85449,14.81278,14.81278,14.81278,14.81278,14.81278,14.81278,14.81278
HKG,Hong Kong,Very High,,4.0,12.39056787,11.85039423,11.85039423,11.85039423,10.66597921,10.16161518,10.16161518,9.754632522,9.754632522,9.671619265,9.671619265,9.671619265
KAZ,Kazakhstan,Very High,ECA,56.0,6.94,5.874,5.874,5.874,5.874,3.16666,3.16666,3.16666,3.16666,3.16666,3.16666,3.16666
MLI,Mali,Low,SSA,186.0,,,,41.61872,41.61872,46.17695,46.17695,46.17695,43.85965,43.85965,43.85965,43.85965
POL,Poland,Very High,,34.0,6.3426,5.62807,5.59326,5.39706,5.3656,5.09326,4.71453,5.20938,4.93736,4.93736,4.45925,4.45925
MMR,Myanmar,Medium,EAP,149.0,19.44,19.44,19.44,19.44,19.44,19.44,26.85272,26.85272,26.85272,26.85272,26.85272,26.85272
RUS,Russian Federation,Very High,,52.0,3.903854,3.279171,3.279171,3.046794,2.80284,2.712368,2.346303,2.207172,2.076,2.036,2.036,2.036
MEX,Mexico,High,LAC,86.0,17.45384438,17.45384438,16.45552493,16.45552493,15.40212083,15.40212083,14.11041542,14.11041542,13.48795481,13.48795481,13.48795481,13.48795481
BDI,Burundi,Low,SSA,187.0,40.97,40.97,36.86809,36.86809,36.86809,36.86809,36.86809,39.48821,39.48821,39.48821,39.48821,39.48821
DJI,Djibouti,Low,AS,171.0,46.974,46.974,,,,,,,,,,
MNE,Montenegro,Very High,ECA,49.0,,6.03860614,6.03860614,7.36696,7.36696,7.36696,7.36696,7.36696,7.81501,7.81501,7.81501,7.81501
VNM,Viet Nam,High,EAP,115.0,16.57815,16.57815,16.57815,16.57815,17.63946,17.63946,17.63946,17.63946,17.63946,17.63946,15.25479,15.25479
CHE,Switzerland,Very High,,1.0,,,,2.34809,2.37852,2.366899217,1.93114,1.93114,1.82879,1.82879,2.01457,2.01457
TZA,Tanzania,Low,SSA,160.0,29.5,29.5,28.49972,28.49972,28.49972,28.49972,26.96013,26.96013,26.96013,26.96013,26.96013,26.96013
GRD,Grenada,High,LAC,68.0,,,,,,,,,,,,
EGY,Egypt,High,AS,97.0,40.9,40.9,38.143,38.143,36.94291,36.94291,36.94291,36.94291,36.94291,36.94291,36.94291,36.94291
ZWE,Zimbabwe,Medium,SSA,146.0,17.825,17.825,17.825,17.825,17.39521,16.80576,16.80576,16.80576,16.80576,14.60503,14.60503,14.60503
DZA,Algeria,High,AS,91.0,,,,33.68956,33.68956,33.68956,33.68956,33.68956,33.68956,33.28262,33.28262,33.28262
GBR,United Kingdom,Very High,,18.0,2.61782,2.61782,2.78598,2.83294,2.83294,3.7586,3.74374,2.73404,2.84785,2.84785,2.84785,2.84785
BRN,Brunei,Very High,EAP,51.0,,,,,,,,,,,,
MOZ,Mozambique,Low,SSA,185.0,30.92034656,30.92034656,30.92034656,30.92034656,30.92034656,36.57526228,36.57526228,40.5314308,40.5314308,40.5314308,40.5314308,40.5314308
LBR,Liberia,Low,SSA,178.0,46.38,46.38,46.38,42.87091,42.87091,42.87091,42.87091,42.87091,42.87091,42.87091,42.11968,42.11968
ROU,Romania,Very High,,53.0,5.03124,5.03124,4.67028,4.56156,5.98063,6.21994,6.32012,5.3222,5.33215,5.33215,5.43438,5.43438
BRA,Brazil,High,LAC,87.0,21.08318,22.42192,19.91471,19.29072,18.49606,18.04837,18.39506,16.9775,16.06656,15.65257,15.65257,15.65257
URY,Uruguay,Very High,LAC,58.0,8.40132,7.40243,7.15325,6.98308,6.84863,6.81665,6.65935,6.63096,6.52606,6.54951,6.54951,6.54951
IND,India,Medium,SA,132.0,42.42,42.42,42.42,42.42,42.42,38.66773,38.66773,38.66773,38.66773,36.87573,36.87573,36.87573
MYS,Malaysia,Very High,EAP,62.0,15.55704832,15.55704832,15.55704832,15.55704832,15.55704832,15.55704832,12.06360206,12.06360206,12.06360206,12.06360206,12.06360206,12.06360206
SYC,Seychelles,High,SSA,72.0,,,,,,,,,,6.65648,6.65648,6.65648
DOM,Dominican Republic,High,LAC,80.0,20.18834,19.58799,18.99107,19.03638,18.99339,17.87405,17.64944,15.70572,15.82689,15.04513,15.04513,15.04513
LBY,Libya,High,AS,104.0,,,,,,,,,,,,
NIC,Nicaragua,Medium,LAC,126.0,,29.49004,29.49004,29.49004,25.79903661,25.79903661,25.79903661,25.79903661,25.79903661,25.79903661,25.79903661,25.79903661
MDA,Moldova,High,ECA,80.0,3.573789055,3.487020812,3.254724925,3.247362894,2.925775997,2.759083599,2.759083599,2.759083599,2.570094084,2.570094084,2.570094084,2.570094084
UZB,Uzbekistan,High,ECA,101.0,,,,0.779396797,0.765510466,0.757375436,0.724853929,0.724853929,0.550110115,0.550110115,0.550110115,0.550110115
KIR,Kiribati,Medium,EAP,136.0,21.38,21.38,21.38,21.38,21.38,21.38,,,9.63653,9.63653,9.63653,9.63653
IRN,Iran,High,SA,76.0,5.06605578,5.06605578,5.06496154,4.970760875,4.966588065,4.966588065,4.984428444,4.984428444,4.984428444,4.984428444,4.984428444,4.984428444
NGA,Nigeria,Low,SSA,163.0,45.243,45.243,45.243,43.29704,43.29704,43.81248,43.81248,38.09476,40.41507,40.41507,40.41507,40.41507
FSM,Micronesia,Medium,EAP,134.0,,,,,,,,,,,,
GHA,Ghana,Medium,SSA,133.0,40.9,36.74153,36.74153,36.74153,34.92485,34.92485,34.92485,35.10167,35.10167,35.10167,35.10167,35.10167
TTO,Trinidad and Tobago,Very High,LAC,57.0,,9.71398,9.71398,9.71398,9.71398,9.71398,9.71398,,,,,
SMR,San Marino,Very High,,44.0,,,,,,,,,5.562256324,5.562256324,5.562256324,5.562256324
