title,lyrics
Go,"[Verse 1]
Don't leave me hanging sideways
We are drunk and driving highways
And our bodies are inclined
To escape the morning light you
Bring your hopes up with the sunrise
But our hearts lie someplace else
[Pre-Chorus]
We are hidden behind these window sills
We are hidden behind these sheets that never end
[Chorus]
If you go, I won't even know now
If you leave, I won't even show it now
If you go, I won't even know now
If you leave, I won't even show it now
[Verse 2]
I did try to be your lover
It was beautiful under covers
And our bodies were inclined
We are wasted in our youth and
We are spent and we are clueless
Did we question our souls?
[Pre-Chorus]
We are hidden behind these window sills
We are hidden behind these sheets that never end
[Chorus]
If you go, I won't even know now
If you leave, I won't even show it now
If you go, I won't even know now
If you leave, I won't even show it now
[Outro]
I won't even frown"
Heartbroken,"[Verse 1]
Yeah, I've been heartbroken
I felt it fill my lungs in
My breath is heavy with you
And all my nights are soaked in
[Refrain]
Your touch
It's a crutch
Just this once
Let it burn
[Verse 2]
Sing this, baby, dance with me
This song is all that hides in me
Like a slingshot splits me in two
Strong as dusky whiskey in you
[Refrain]
This love hurts
Let it burst
Just slay me
Just taste me
[Bridge]
I glance with sunlight this limelight
You fortified me with your eyes
Like wine, my hands fly your body tonight
So stay, please, by my side
[Verse 3]
Let this be the last time
Let your hands stay in mine
I won't sleep or let you
Until your lips slide in minе
[Refrain]
My love
Can we burn?
Just this once
Can wе burn?
Just this once
Can we burn?"
Held You Tight,"I hold my breath and
Slow my heart beat when
You console me
Babe you showed me the light
When I’m lonely
When I’m over the edge
Babe you fool me
Babe you showed me the light
I have held you tight
Could not open my eyes
I have held you tight
Could not open my eyes
I pride myself in
Knowing you so well
But you know me
Babe you showed me the light
In my heartache
In my lonesome time
Babe you found me
Babe you showed me the light
I have held you tight
Could not open my eyes
I have held you tight
Could not open my eyes"
Holding On,"It was shown and behold her hair was golden
Her eyes were blue, as the sea was bold
And free
Her eyes were bold and free
We grew with the town, we laughed and we frowned
Our eyes withdrawn, but our hearts were bold
And free
Our hearts were bold and free
We walked with our shadows behind us and close
We danced with our bodies with me
Holding on to you
And you holding on to me
We painted the sky, with blues of a thousand kinds
We were fools, for the moon was ahead all this while
The moon was ahead all the time
So broken and done, our souls and our bones
May be old and sore, but our eyes they shone like the sun
Our eyes they shone like the sun
We walked with our shadows behind us and close
We danced with our bodies with me
Holding on to you
And you holding on to me"
Hollow,"[Intro]
Who did you find? Who did you follow?
I wake up late, I wake up hollow
Who did you find? Who did you follow?
I wake up late, I wake up hollow
[Verse 1]
I closed my eyes, I let the fire burn
I meant to stay, I meant to call her
[Refrain]
We said goodbye, we made it harder
We said we'll fight, we made it harder
[Verse 2]
We opened our eyes and it was cold out
We kept our needs, we kept our ghosts out
I wept the night, I wept my heart out
I felt my skin roll up and roll down
[Refrain]
We said goodbye, we madе it harder
We said we’ll fight, wе made it harder
[Instrumental Break]
[Refrain]
We said goodbye, we made it harder
We said we'll fight, we made it harder
[Outro]
Who did you find? Who did you follow?
I stayed up late, I waited for you
Who did you find? Who did you follow?
I stayed up late, I waited for you"
Hopelessly Live at Soundcheck,"[Verse 1]
Yeah, nothing felt safer
So silently we fall
I wrote it on paper
'Cause it's all I've really got
[Chorus]
And you, you have me hopelessly in love
And you, you have me hopelessly in love
[Verse 2]
I wanna believe you
But the pain comes in the way
I don't wanna leave you
But all the signs, they point away
[Chorus]
And you, you have me hopelessly in love
And you, you have me hopelessly in love
[Bridge]
Believe me, you complete me
Feel me, can you heal me?
Yeah, I need you close, I need to belong
I feel so confined, I won’t carry on
We sleep under stars, embrace on our knees
Look into my heart, I need you to see
[Verse 3]
I wanna believe you
But the pain comes in the way
I don't wanna leave you
But darling, I need to walk away
[Chorus]
And you, you have me hopelessly in love
And you, you have me hopelessly in love
'Cause you, you have me hopelessly in love
And you, you have me hopelessly in love"
Into the Night,"[Verse 1]
When I was young, I could tell between the moon and the stars
And I would hold my breath underwater for a minute and a half
You came along, to be my baby
And then you came along, to be my darlin'
[Verse 2]
Love, when did I learn to be perfectly fine
With the wind in my hair and the cold of my feet was gone? Then you came along to be my baby, love
Then you came along to be my darling
[Chorus]
It was love before I even held your hands
It was love and I could tell that I was weak in the knees
And so we danced our time away into the night
[Verse 3]
I thought I was born in a jungle but I was born
In a palace of green and I couldn’t stay
Another night without holding my knees between yours
Another night without feeling your lips on mine
[Verse 4]
Baby if they call me a failure, you could be my prize
If my life is a joke, you could be my smile
Another home, another land, another city
If it means that I could be a better man in your eyes
[Chorus]
It was love before I even held your hands
It was love and I could tell that I was weak in the knees
And so we danced our time away into the night
[Chorus]
It was love before I even held your hands
It was love and I could tell that I was weak in the knees
And so we danced our time away into the night"
Just a Word,"[Verse 1]
Am I the one that you want?
Maybe it's time to let me know
Picking me up from the floor
Maybe it's time to let me go
[Pre-Chorus]
Did you see me and feel me?
Did your body deceive me?
Can you heal me
Before our lips entwine?
Can this be painless?
And blameless with all our insaneness
Our grip tightens, we fight it from inside, mhm
[Chorus]
Yeah, it was just a word, but we never let it hurt us
Tryna find a world where this love really dеserves us
Yeah, baby, I am waiting if you lеt me know, yeah
It was just word, but we never let it hurt us
[Verse 2]
Just one of those times
We couldn't let our feelings show
Need you from nine to nine
I want you more than you could know
[Pre-Chorus]
Did you see me and feel me?
Did your body deceive me?
Can you heal me
Before our lips entwine?
Can this be painless?
And blameless with all our insaneness
Our grip tightens, we fight it from inside, mhm
[Chorus]
Yeah, it was just a word, but we never let it hurt us
Tryna find a world where this love really deserves us
Yeah, baby, I am waiting if you let me know, yeah
It was just word, but we never let it hurt us"
Just to Be With You,"So, Why did you take my heart away
This love, just winter ahead
And even the chain couldn't keep but still
This love, maybe it will
This night will swallow our sin's
What i wouldn't do just to be with you
What i wouldn't do just to be with you
What i wouldn't do just to be with you
What i wouldn't do just to be with you
What i wouldn't do just to be with you"
Kadam,"Main kadam kadam
Badalta hoon yanhi
Ye zindgi baldalti hi nahi
Hai lafzon ki kami
Main idhar udhar fisalta hi raha
Ye man kabhi sambhalta hi nahi
Hoon yaadon mein chupa
Ye shaam kaise rang si hai
Uddti utarati patang si hai
Main kal ki raahon mein hoon pasaa
Ye waqt bhi mujhe bhulaa gaya
Main ghadi ghadi bekhabar hi tha
Kya raaj mere dil mein hai chupaa
Hai naam kya mera?
Kyun? sawalon ki lahar mujhe mili
Main ghul gay samya ki aag thi
Ye nazmein bhi ghul gaye
Ye raastein kyun alag se hain
Likhate tahalte kalam se hain
Main kal ki saanson mein hoon chupa
Ye waqt bhi mujhe bhulaa gaya
Ye shaam kaise rang si hai
Uddti utarati patang si hai
Main kal ki raahon mein hoon pasaa
Ye waqt bhi mujhe bhulaa..
Ye raastein kyun alag se hain
Likhate tahalte kalam se hain
Main kal ki saanson mein hoon chupa
Ye waqt bhi mujhe bhulaa gaya
Ye waqt bhi mujhe bhulaa gaya!"
Kahan ho tum,"Wooo Oooo ooo oh
Wooo Oooo ooo o
Wooo Oooo ooo oh
Wooo Oooo ooo o
Haan ye baatey zaroori hai
Paas tum ho kaisi durii hai
Kahaan ho tum ye kahani, adhuri hai
Ye kaisi dhun mere lamho ko chooi hai
Mere dil ka fasaana hai
Tum se milne ka bahana hai
Kahan ho tum manzilo ka eshaara hai
Na koi shak hai na koi iraada hai
Mujhey samjhaye koi kyun
Na jaanu mein na jaaney tuu
Mujhey samjhaye koi kyun
Na jaanu mein na jaaney tuu
Hai dil pe sabar, mai jaau kidhar
Haan badalti bahare hain, Tere
Intzaar ke sahaare hain
Kahan ho tum ha guzartey sitaarey hai
Na jaaney khoi ya vo hmaarey hain
Kahaan ho tum
Wooo Oooo ooo oh
Kahaan ho tum
Wooo Oooo ooo oh
Kahaan ho tum
Wooo Oooo ooo oh
Kahaan ho tum
Mujhey samjhaye koi kyun
Mujhey samjhaye koi kyun
Na jaanu mein na jaaney tuu
Mein jaanu mein na jaaney tuu
Hai dil pe sabar, Mai jaau kidhar
(whistle)"
Kasoor Acoustic,"Haan, mai gumsum hoon
In raahon ki tarah
Tere khwabon mei
Teri khwahishon mei chhupa
Na jaane kyun
Hai ye roz ka silsila
Tu rooh ki hai dastaan
Tere zulfon ki ye nami
Teri aankhon ka yeh nasha
Yahaan kho bhi jaun toh mai
Kya kasoor hai mera
Kyun ye afsaane
In lamhon mei kho gaye
Hum ghaayal the
In lafzon mei kho gaye
The hum anjaane
Ab dil mei tum ho chhupi
Hum hai seher ki parchhaiyan
Tere saanson ki raat hai
Tere hothon ki hai subah
Yahaan kho bhi jaun toh mai
Kya kasoor hai mera
Tere zulfon ki ye nami
Teri aankhon ka ye nasha
Yahaan kho bhi jaun toh mai
Kya kasoor hai mera
Tere saanson ki raat hai
Tere hothon ki hai subah
Yahaan kho bhi jaun toh mai
Kya kasoor hai mera"
Kasoor,"[Verse 1]
हाँ, मैं गुमसुम हूँ इन राहों की तरह
तेरे ख्वाबों में, तेरी ख्वाहिशों में छुपा
ना जाने क्यों, है रोज़ का सिलसिला
तू रूह की है दास्तान
[Chorus]
तेरे ज़ुल्फ़ों की ये नमी
तेरी आँखों का ये नशा
यहाँ खो भी जाऊँ तो मैं
क्या कसूर है मेरा?
[Verse 2]
क्यों ये अफ़साने इन लम्हों में खो गए
हम घायल थे इन लफ़्ज़ों में खो गए
थे हम अनजाने, अब दिल में तुम हो छुपे
हम हैं सेहर की परछाइयाँ
[Chorus]
तेरे साँसों की रात है
तेरे होंठों की है सुबह
यहाँ खो भी जाऊँ तो मैं
क्या कसूर है मेरा?
क्या कसूर है मेरा?
तेरे झुलफ़ों की ये नमी
तेरी आँखों का ये नशा
यहाँ खो भी जाऊँ तो मैं
क्या कसूर है मेरा?
तेरे साँसों की रात है
तेरे होंठों की है सुबह
यहाँ खो भी जाऊँ तो मैं
क्या कसूर है मेरा?
क्या कसूर है मेरा?
क्या कसूर है मेरा?"
Kho Gaye Hum Kahan,"[Intro]
Rooh se behti hui dhun ye ishaare de
Kuch mere raaz, tere raaz aawara se
[Chorus]
Kho gaye hum kahan
Rangon sa yeh jahaan
Kho gaye hum kahan
Rangon sa yeh jahaan
[Hook]
Tedhe-medhe raaste hai, jaadui imaaratein hai
Main bhi hoon, tu bhi hai yahan
Khoyi soyi sadko pe, sitaron ke kandhon pe
Hum nachte udte hai yahan
[Chorus]
Kho gaye hum kahan
Rangon sa yeh jahaan
Kho gaye hum kahan
Rangon sa yeh jahaan
[Verse]
So gayi hai ye saansein sabhi
Adhoori si hai kahani meri
Phisal jaaye bhi to darr na koi
Ruk jaane ki zaroorat nahi
Kaagaz ke parde hai, taale hai darwazon pe
Paani mein doobe huve khwaab alfazon ke
[Chorus]
Kho gaye hum kahan
Rangon sa yeh jahaan
Kho gaye hum kahan
Rangon sa yeh jahaan
[Hook]
Tedhe-medhe raaste hai, jaadui imaaratein hai
Main bhi hoon, tu bhi hai yahan
Khoyi soyi sadko pe, sitaron ke kandhon pe
Hum nachte udte hai yahan"
Khone Do,"Lafzon Ke Najakat To Dekho
Adaon Ke Shararat To Dekho
Khoya Main Khoyi Ho Tum
Mere Mann Ki Har Chahat Ho Tum
Baahon Mein Baahon Mein Khone Do
Is Pal Ki Aadat Hai Hone Do
Baahon Mein Baahon Mein Khone Do
Is Pal Ki Aadat Hai Hone Do
Tere Dil Ki Ye Sajish Hai
Kya Nazar Ki Izazat Hai
Ruki Hui Hai Har Ghadi
Tere Aankhon Ke Dhun Mein Chhupi
Baahon Mein Baahon Mein Khone Do
Is Pal Ki Aadat Hai Hone Do
Baahon Mein Baahon Mein Khone Do
Is Pal Ki Aadat Hai Hone Do
Kisi Kal Ki Adhoori Kahani
Kisi Roj Ka Maamla
Kahan Hoon Main Kahan Ho Tum
In Saanson Ki Chadar Mein Gum
Baahon Mein Baahon Mein Khone Do
Is Pal Ki Aadat Hai Hone Do
Baahon Mein Baahon Mein Khone Do
Is Pal Ki Aadat Hai Hone Do
Baahon Mein Baahon Mein Khone Do
Is Pal Ki Aadat Hai Hone Do"
Lilac Skies Live at Island City Studio,"[Verse 1]
Can I fill my pockets with your dreams?
Show you everything you’ve never seen
I beg you darling, hold me please
[Chorus]
And we'll lie, under lilac skies
We'll combine
[Verse 2]
Baby, can I love you every day?
Every time I hold you, don't sway
I wait in the corner every day
[Chorus]
And we'll lie, under lilac skies
We'll combine
[Bridge]
You make me feel this rush of blood, with your touch
Can I forget those days and lose myself, in your arms?
You make me feel this rush of blood
You make me feel this rush of blood
You make me feel this rush of blood, with your touch
Can I forget those days and lose myself, in your arms?
You make me feel this rush of blood, with your touch
Can I forget those days and lose myself?
[Outro]
And we'll lie, we'll combine
Combine, combine
You make me feel this rush of blood"
Oh Love,"Don't worry bout me
I've got another hour
Or so to kill
Don't worry bout me
I'll find another place to begin
It's over done
Have faith, have faith
Patience my love
To know the truth
The rest is yet to come
Oh it's time
Oh love, be mine
No, go slow
So high, so low
Don't worry bout me
I'll fake another trick
To grab her in
Don't worry bout me
I've got a million tricks up my sleeve
You'll never know
How near, how far can this go
So don't you fret
My dear, by now
You should know
Oh it's time
Oh love, be mine
Behold these eyes
Oh love it's time
Behold these eyes
There's a fire that burns
Inside my soul
You'll feel another side
Of you tonight
For another time
Oh it's time
To make up your mind
Don't waste time
Oh love be mine"
Pause,"[Verse 1]
I can never speak in tunes before
But for you, I could write a symphony
If only you would sing alone
Doesn't even need to be in key
Is what I have enough for you?
Or do you need all the things that I don’t?
Separate all the lies from the truth
Picking up the pieces so
[Chorus 1]
Can we hide?
I need you close
Can we pause this moment
Keep it open, close?
Dance alone
And this time we'll split our hearts wide open
[Verse 2]
Yes, everything, it changes
But we still feel the sameness
Slip away as we fade away
Can you make me feel that you will never leave?
Will it ever be the same again?
We hold each other just to, stay in place
Maybe I'll just be the one to say
[Chorus 2]
Can we hide?
I need you close
Can we pause this moment
Keep it open, close?
Dance alone
And in time we’ll split our hearts wide open
Love, hold me close
Can we pause this moment
Keep it open?
No, Can we go home?
And this time we'll keep our hearts wide open"
Raat Raazi,"Andhere ka ye jaal hai
Ya saanjh ki ye chaal hai
Ye aaina bekaar hai
Main kon hoon ye raaz hai
Ye zulfon ka andhera jo chha gaya
Main kho gaya
Tu roshni, tu saaz hai
Tu kon hai ye raaz hai
Abhi to sham baki hai
Aur raat raazi hai
Abhi to baat baki hai
Aur raat raazi hai
Chaaron aur aag hai
Ya taaron ka ye baag hai
Mehfil zaroor khash hai
Tu kon hai ye raaz hai
Ye khwahison ki raat hai
Tera guroor maaf hai
Chaand ko bhi naaz hai
Tu kon hai ye raaz hai
Abhi to sham baki hai
Aur raat raazi hai
Abhi to sham baki hai
Aur raat raazi hai
Aur raat raazi hai
Hota hai jo hone do
Ye roko na mujhe khone do
Jo khota hai wo hone do
Ye roko na mujhe khone do yahaan"
Rubber Bits,"Rubber bits on the floor, no more
I'm a 100 days, away, from home
But I know that it's not the same
Cause rubber bits on the floor
Rubber bits on the floor, no more
Cold and wet noses
Silent fits and poses
The mice are on the floor
But rubber bits no more, mm hmm
Like a lazy Monday
Slipping through the doors
The mice are on the floor
But rubber bits no more mmhmm
Cold and wet noses
Silent fits and poses
The mice are on the floor
But rubber bits no more, mm hmm
Still there are times, in my eyes, tears
Waking up to the wet, morning shadows
Cold and wet noses
Silent fits and poses
The mice are on the floor
But rubber bits no more, mhm"
Saansein,"Saansein meri ab befikar hain
Dil mein base kaise yeh pal hain
Baatein sambhal jaa rahi hain
Palkon mein yoon hi hansi hai
Man mein chhupi kaisi yeh dhun hai
Har khaahishein uljhi kidhar hain
Pairon se zakhmi jameen hai
Nazrein bhi thehri hui hain
Hai ruki har ghadi
Hum hain chalein raahein yahin
Yeh manzilein humse khafa thi
In par chayi oss si bewafa thi
Baahon mein ab khoyi hain raatein
Haathon mein khuli hain yeh shaamein
Yeh subha hai nayi
Hum hain chalein raahein yahin
Main apne hi mann ka hausla hoon
Hai soya jahan par main jaga hoon
Main peeli sehar ka nasha hoon
Main madhosh tha ab main yahan hoon
Saansein meri ab befikar hain
Dil mein base kaise yeh pal hain
Naghmein khile hain ab saare
Pairon tale hain mashalein
Thamm gayi hai zameen
Hum hain chalein raahein yahin"
Shehron Ke Raaz,"Kaise yeh din
Kaisi yeh raat hai
Bas main aur tum
Is pal me saath hai
Tum jo kaho toh
Baatein bhi khaas hai
Tum jo sunoh toh
Andhere me saans hai
Badli yeh dhun
Badli yeh raah hai
Bas main aur tum
Shehron ke raaz hai
Tum hi se dil me aayi yeh aag hai
Tum hi se man mein aaye ehsaas hai
Ab main aur tum shehron ke raaz hai"
Something Wrong,"There is something wrong
There is something wrong with the way I think
Everybody say
Everybody tells me not to be this way
Take another look
Think about it differently today
Take another shot
You'll have another shot at it someday
Its spilling through my life
Spreading through my mind
And I can’t escape
This flood in my mind
Sometimes it feels all right
Somedays it feels all right to see the light
I'm living a hundred lives
But I wanna live just one, just right
But nobody knows
Nobody understands what's on my mind
The light that I can see
The world where I believe in me
Its spilling through my life
Spreading through my mind
And I can’t escape
This flood in my mind
Its spilling through my life
Spreading through my mind
And I can't escape
This flood in my mind
There is nothing wrong
There is nothing wrong with the way I think
There is nothing wrong
There is nothing wrong"
Tere Hi Hum,"Kaise badalte kaise guzarte din
Kaise kadar the phir bhi hai sang yeh dil
Kya hi bataaon
Meri yeh raahein hai
Kya hi kahoon main
Zaahir hai yeh
Tere hi hum hain
Kya yeh
Pyaar kam hai
Haan hi tere naam hum hain
Arz hai kiya
Hai meri aadat
Rooh ka
Saaz gham hai
Tere hi toh saath man hai
Maane na jiya
Dard nahi toh, sard hai tere bin
Kyun hai khafa yun, tu hi toh hai manzil
Kaisi ibadat, pairon siyaahi hai
Mere kalam ki tu hi kahaani hai
In khwahishon me khoya hua hoon
In zakhm khaatir meri sunoh
Tere hi hum hain
Kya yeh
Pyaar kam hai
Haan hi tere naam hum hain
Arz hai kiya
Hai meri aadat
Rooh ka
Saaz gham hai
Tere hi toh saath man hai
Maane na jiya"
The Last Time,"[Verse 1]
The last time I had you
How did I find you?
Nosebleeds
 and sunscreen
Yeah, my heart screams ""I want you""
The lines blur in your fake fur
Yeah, your shiny, fake skin purse
Hold me and I'll hold you
When you're with me, I'm with you
[Chorus]
I don't wanna hide away
Baby, can you let me be someone again?
Don't wanna hang sideways
Baby, can you let me be someone again?
Did I even know you?
Did you even know me?
Let's rewind
[Verse 2]
Baby, you're a safe space sometimes
Or maybe we just needеd some time
When you kiss mе, yeah, my lips hurt
When you touch me, my skin burns
Hm, baby, hold me through the night
[Chorus]
I don't wanna hide away
Baby, can you let me be someone again?
Don't wanna hang sideways
Baby, can you let me be someone again?
Did I even know you?
Did you even know me?
Let's rewind
[Bridge]
Our heartbeats lined, we're one design
Our heartbeats lined, we're one design
Our heartbeats lined, we're one design
Our heartbeats lined, we're one design
[Outrod]
Baby, you're a safe space sometimes
Baby, you're a safe space sometimes
Or maybe we just needed some time"
Tonight,"So hold your hands in mine
Tonight
I'll drive you to the stars
Tonight
And On our way we’ll sip the sea
And glide with the moonlight
Just you and me
We'll sway with the clouds
Just like you want it to be
Oh darling it'll be just you and me
You’ll be the one that's finds me
Tonight...
I'll drive you to the stars
Tonight
Tonight...
Tonight
Hmm
Hmm
Tonight
Tonight
Hmm
Hmm
Hmm
Hmm"
Tum Jab Pass,"[Verse 1]
Kitne waadein, kitni baatein baaki hain
Kitne din aur kitni raatein baaki hain
In parchhaiyo se badal bhi jau toh
Mai befikar hu, madhosh ho bhi jau toh
[Chorus]
Tum jab paas aati ho
Palkon se muskurati ho
Hawaayein bhi gungunati hai
Tum jab paas aati ho
[Verse 2]
Uljhi nazrein kaise anjaan sheheron mein
Saari kasme behti yaado ki lehro mein
Iss gehrai se bekhabar ho jaun to
Main befikar hoon, madhosh ho bhi jaun to
[Chorus]
Tum jab paas aati ho
Palkon se muskurati ho
Hawaayein bhi gun-gunati hai
Tum jab paas aati ho
[Verse 3]
Kho jaane ki zidd na karo
Khwaaish hai ye dil ki
Raaho ko nazar mein rakho"
Tune Kaha,"[Verse 1]
Tere hawale hai ye zindagi meri
Tere ujaale se sab raahe hain yaha
Apne naseeb ka mai badshah nahi
Tu meri shaam hain, tu hi meri subah
[Chorus]
Tune kaha, maine sun lia
Tune kaha, maine sun lia
Tune kaha, maine sun lia
Tune kaha, maine sun lia
[Verse 2]
Shoor aya aise to, tu befikar hain kyu?
Sharmai manzile tu bekhabar hain kyu?
Rango se dosti hai maine bhi kari
Kya hai tu sochati mujhko bhi to bta
[Chorus]
Tune kaha, maine sun lia
Tune kaha, maine sun lia
Tune kaha, maine sun lia
Tune kaha, maine sun lia
[Bridge]
Phikar ke din aur raatein
Dhaal gaya suraj kaha
Phizool ki thi baatein
Kho gaye the hum jane kaha
[Chorus]
Tune kaha, maine sun lia
Tune kaha, maine sun lia
[Verse 3]
Rozana meri to hain daasatan nayi
Phurze poorane hain par shock hain kayi
Taaro ki roshani ne dikhaya raasta
Par maim mukal gaya tu sath jo yahi"
Voh,"Mere khwabon ko, banaye jo
Meri hakikat ko, sajaye jo
Jaane kahaan hai voh
Jaane kahaan hai voh
Mere iraade kaun badalta hai
Mere khayalon ko, banaye jo
Jaane kahaan hai voh
Jaane kahaan hai voh
Tere hone se hai jahaan
Gune rangeen aasman
Tera suraj, tera chaand
Kya pata
Mere khwabon ko, banaye jo
Meri hakikat ko, sajaye jo
Jaane kahaan hai voh
Jaane kahaan hai voh
Tere hone se hai jahaan
Gune rangeen aasman
Tera suraj, tera chaand
Kya pata
Tere hone se hai jahaan
Gune rangeen aasman
Tera suraj, tera chaand
Kya pata"
