id,rank,date,artist,song,last_week,weeks_on_chart,peak_rank
580743,23,1963-04-13,Tony Bennett,I Wanna Be Around,17.0,14,14
337633,23,1975-10-25,George Harrison,You,25.0,6,23
747849,52,2013-03-30,Florida Georgia Line,Get Your Shine On,50.0,8,50
1177879,11,2020-10-24,Lewis Capaldi,Before You Go,13.0,37,9
338428,43,1974-09-28,"Billy ""Crash"" Craddock",Rub It In,34.0,14,16
564320,38,2008-06-21,Ne-Yo,Closer,45.0,8,38
331454,74,1989-05-20,R.E.M.,Stand,53.0,18,6
22431,34,1981-11-28,Paul Davis,Cool Night,49.0,4,34
385538,64,2000-07-15,Splender,I Think God Can Explain,62.0,6,62
334266,63,1983-04-30,Eddie Rabbitt,You Can't Run From Love,73.0,2,63
344651,27,1979-04-28,Bad Company,Rock 'n' Roll Fantasy,32.0,7,27
575993,16,1961-10-30,The Drifters,Sweets For My Sweet,18.0,8,16
37077,37,1996-02-10,Janet Jackson,Runaway,33.0,22,3
807317,3,2014-07-05,MAGIC!,Rude,3.0,9,3
710372,54,2012-04-14,Chris Brown Featuring Kevin K-MAC McCall,Strip,51.0,16,37
579409,42,1965-11-20,Herman's Hermits,Just A Little Bit Better,28.0,10,7
936068,4,2015-12-12,Justin Bieber,What Do You Mean?,5.0,13,1
974590,23,2016-08-13,Ariana Grande,Into You,24.0,11,23
331722,16,1988-05-28,Orchestral Manoeuvres In The Dark,Dreaming,16.0,12,16
53195,25,1998-04-04,SWV,Rain,32.0,2,25
579491,18,1974-07-13,ABBA,Waterloo,24.0,7,18
333049,57,1986-04-05,Jennifer Rush,The Power Of Love,59.0,9,57
570776,28,1960-11-28,The Platters,To Each His Own,22.0,8,21
574749,59,1961-09-25,Neil Sedaka,Sweet Little You,66.0,5,59
993655,62,2017-04-15,Jason Aldean,Any Ol' Barstool,74.0,10,62
1179171,11,2021-04-24,The Weeknd,Blinding Lights,9.0,71,1
43495,90,1996-05-18,Crucial Conflict,Hay,90.0,2,90
574114,39,1971-02-27,The 5th Dimension,One Less Bell To Answer,19.0,19,2
581335,93,1959-08-03,Kathy Linden,You Don't Know Girls,99.0,2,93
334347,22,1983-07-30,The Fixx,Saved By Zero,24.0,10,22
6399,1,1991-06-15,Paula Abdul,Rush Rush,3.0,6,1
342876,35,1982-03-13,Foreigner,Juke Box Hero,39.0,5,35
62791,60,1984-08-04,Joe Jackson,Happy Ending,66.0,4,60
560041,31,2008-07-26,Estelle Featuring Kanye West,American Boy,40.0,13,31
574261,84,1965-08-21,Donovan,Colours,95.0,2,84
1028801,62,2017-09-23,Dua Lipa,New Rules,67.0,6,62
577758,56,1963-07-13,Mary Wells,Your Old Stand By,40.0,8,40
442938,43,2003-11-01,Britney Spears Featuring Madonna,Me Against The Music,50.0,2,43
35484,68,1995-09-16,The Dove Shack,"Summertime In The LBC (From ""The Show"")",68.0,6,68
442541,59,2004-10-16,Gary Allan,Nothing On But The Radio,59.0,5,59
580509,22,1971-03-27,Brewer And Shipley,One Toke Over The Line,26.0,7,22
571265,4,1972-04-29,"The Stylistics Featuring Russell Thompkins,Jr.","Betcha By Golly, Wow",6.0,10,4
332073,27,1987-10-10,Grateful Dead,Touch Of Grey,17.0,12,9
571536,25,1974-10-26,The Tymes,You Little Trustmaker,12.0,11,12
566925,64,2008-08-09,Jazmine Sullivan,Need U Bad,73.0,2,64
753874,2,2012-11-03,PSY,Gangnam Style,2.0,7,2
331152,66,1989-12-23,Jermaine Jackson,Don't Take It Personal,70.0,4,66
576237,8,1968-07-20,Mason Williams,Classical Gas,29.0,5,8
336654,80,1978-05-13,REO Speedwagon,Roll With The Changes,,1,80
499134,42,2007-08-11,P!nk,U + Ur Hand,40.0,31,9
33542,28,1995-09-09,Soul For Real,Every Little Thing I Do,26.0,19,17
626821,59,2010-02-13,Snoop Dogg Featuring The-Dream,Gangsta Luv,52.0,15,35
3108,44,1990-05-19,Johnny Gill,Rub You The Right Way,49.0,2,44
1014975,54,2017-06-03,Linkin Park Featuring Kiiara,Heavy,51.0,13,51
564320,42,2009-01-03,Ne-Yo,Closer,38.0,36,7
580967,44,1971-09-11,The Free Movement,I've Found Someone Of My Own,58.0,15,44
18552,26,1993-08-14,Sting,Fields Of Gold,26.0,11,23
333156,55,1985-08-17,John Cafferty & The Beaver Brown Band,C-I-T-Y,65.0,2,55
575432,89,1978-08-26,Bob Seger & The Silver Bullet Band,Still The Same,47.0,16,4
15827,35,1993-06-05,R. Kelly & Public Announcement,Dedicated,31.0,15,31
33355,2,1995-05-27,Bryan Adams,Have You Ever Really Loved A Woman?,2.0,7,2
575810,66,1960-04-04,Adam Wade,Ruby,77.0,4,66
32600,86,1995-05-13,E-40 (Featuring Leviti),1-Luv,81.0,12,71
576087,56,1969-11-29,Dyke And The Blazers,Let A Woman Be A Woman - Let A Man Be A Man,49.0,11,36
3116,8,1990-05-26,Roxette,"It Must Have Been Love (From ""Pretty Woman"")",9.0,8,8
336449,72,1978-01-28,Rose Royce,Ooh Boy,74.0,10,72
471692,100,2005-04-16,Britney Spears,Do Somethin',,1,100
330660,36,1990-02-24,KISS,Forever,44.0,4,36
572849,83,1972-07-01,Daniel Boone,Beautiful Sunday,90.0,5,83
493229,7,2006-08-26,Panic! At The Disco,I Write Sins Not Tragedies,10.0,24,7
574405,47,1966-01-08,Frank Sinatra,It Was A Very Good Year,58.0,3,47
337006,82,1977-08-27,Kenny Loggins,I Believe In Love,84.0,5,82
964241,4,2016-07-02,The Chainsmokers Featuring Daya,Don't Let Me Down,4.0,18,4
420804,49,2002-11-16,Ginuwine,Stingy,48.0,16,33
505516,21,2006-12-02,Diddy Featuring Nicole Scherzinger,Come To Me,20.0,12,9
962959,9,2016-05-14,Zayn,Pillowtalk,8.0,13,1
57098,14,1998-10-03,Next,I Still Love You,17.0,9,14
434311,19,2003-06-14,Kelly Clarkson,Miss Independent,22.0,5,19
1016822,3,2018-03-31,Ed Sheeran,Perfect,2.0,30,1
338425,59,1974-08-10,Bobby Womack,"You're Welcome, Stop On By",64.0,6,59
31234,33,1995-09-16,Hootie & The Blowfish,Let Her Cry,29.0,28,9
462484,50,2005-06-04,The Game Featuring 50 Cent,How We Do,47.0,28,4
338626,26,1974-11-30,Shirley Brown,Woman To Woman,37.0,5,26
577821,15,1977-12-31,Shaun Cassidy,Hey Deanie,15.0,8,15
640788,31,2010-03-13,Taylor Swift,Today Was A Fairytale,24.0,6,2
578716,89,1972-02-19,Dennis Coffey & The Detroit Guitar Band,Taurus,,1,89
1034467,87,2017-10-07,Selena Gomez Featuring Gucci Mane,Fetish,74.0,11,27
578606,84,1977-07-02,Walter Egan,Only The Lucky,89.0,4,84
22859,20,1986-01-11,Miami Sound Machine,Conga,21.0,13,20
570525,63,1965-07-03,Dean Martin,(Remember Me) I'm The One Who Loves You,36.0,7,32
571881,98,1973-02-10,The Raiders,Love Music,100.0,2,98
578398,11,1975-11-08,People's Choice,Do It Any Way You Wanna,12.0,12,11
580178,81,1972-04-29,Steve Alaimo,Amerikan Music,,1,81
656268,78,2010-07-24,Eminem Featuring Lil Wayne,No Love,67.0,3,23
492518,23,2006-12-23,Chris Brown,Say Goodbye,17.0,18,10
598440,31,2009-06-06,The Fray,You Found Me,25.0,27,7
332743,94,1986-09-27,Kenny Loggins,Danger Zone,79.0,21,2
721506,62,2012-06-16,Drake Featuring Lil Wayne,HYFR (Hell Ya F*****g Right),63.0,13,62
397016,16,2001-05-19,R. Kelly Featuring Jay-Z,Fiesta,22.0,8,16
17315,59,1993-04-24,Duran Duran,Come Undone,86.0,2,59
