Unnamed: 0,rank,artist,song,rank_last_week,peak_rank,weeks_on_chart,date
462,63,Mac Miller,Complicated,0,63,1,2020-02-01
5281,82,Niko Moon,Good Time,96,71,12,2021-01-02
4568,69,Chris Stapleton,Starting Over,63,57,10,2020-11-14
198,99,Jordan Davis,Slow Dance In A Parking Lot,0,99,1,2020-01-11
429,30,Shawn Mendes & Camila Cabello,Senorita,24,1,31,2020-02-01
5266,67,Megan Thee Stallion Featuring DaBaby,Cry Baby,95,67,3,2021-01-02
1847,48,BENEE Featuring Gus Dapperton,Supalonely,59,48,7,2020-05-09
3921,22,Lee Brice,One Of Them Girls,19,19,17,2020-10-03
347,48,Khalid,Talk,42,3,46,2020-01-25
345,46,Wale Featuring Jeremih,On Chill,37,22,23,2020-01-25
1794,95,Regard,Ride It.,96,95,2,2020-05-02
1905,6,Dua Lipa,Don't Start Now,7,2,27,2020-05-16
1250,51,Lil Baby,Sum 2 Prove,52,16,10,2020-03-28
1127,28,Lil Uzi Vert,POP,0,28,1,2020-03-21
4100,1,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),8,1,17,2020-10-17
2617,18,Lil Baby & 42 Dugg,We Paid,27,18,8,2020-07-04
2645,46,Pop Smoke,Dior,49,30,19,2020-07-04
3174,75,Drake,Toosie Slide,45,1,17,2020-08-08
5196,97,BRS Kash,Throat Baby (Go Baby),81,69,9,2020-12-26
3242,43,Dan + Shay,I Should Probably Go To Bed,0,43,1,2020-08-15
157,58,Jon Pardi,Heartache Medication,75,58,14,2020-01-11
4179,80,Sam Smith,Diamonds,70,51,3,2020-10-17
2372,73,Gunna Featuring Young Thug,Dollaz On My Head,38,38,2,2020-06-13
4032,33,Dua Lipa,Don't Start Now,32,2,48,2020-10-10
192,93,Tory Lanez & T-Pain,Jerry Sprunger,0,44,5,2020-01-11
3399,100,Marshmello & Halsey,Be Kind,88,29,15,2020-08-22
4505,6,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),8,1,21,2020-11-14
556,57,H.E.R. Featuring YG,Slide,70,57,6,2020-02-08
328,29,Halsey,You Should Be Sad,0,29,1,2020-01-25
1639,40,Chris Brown Featuring Drake,No Guidance,38,5,45,2020-04-25
4830,31,Bobby Helms,Jingle Bell Rock,0,3,31,2020-12-05
294,95,Doja Cat Featuring Nicki Minaj,Say So,0,95,1,2020-01-18
1710,11,Billie Eilish,Everything I Wanted,10,8,24,2020-05-02
1880,81,Keith Urban,God Whispered Your Name,97,81,2,2020-05-09
4773,74,DaBaby Featuring Young Thug,Blind,89,74,9,2020-11-28
4026,27,Pop Smoke Featuring Lil Tjay,Mood Swings,20,17,13,2020-10-10
58,59,Luke Combs,Even Though I'm Leaving,49,11,17,2020-01-04
2862,63,Moneybagg Yo,Said Sum,0,63,1,2020-07-18
660,61,Lil Wayne,Mahogany,0,61,1,2020-02-15
4764,65,Miley Cyrus,Midnight Sky,44,14,14,2020-11-28
3015,16,Gabby Barrett Featuring Charlie Puth,I Hope,23,16,30,2020-08-01
4170,71,21 Savage & Metro Boomin,No Opp Left Behind,0,71,1,2020-10-17
1344,45,The Weeknd,Faith,0,45,1,2020-04-04
3253,54,Florida Georgia Line,I Love My Country,69,48,16,2020-08-15
1743,44,DaBaby Featuring Quavo,PICK UP,0,44,1,2020-05-02
1247,48,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,73,48,6,2020-03-28
4392,93,BRS Kash,Throat Baby (Go Baby),0,93,1,2020-10-31
60,61,Halsey,Graveyard,52,34,15,2020-01-04
5141,42,Michael Buble,It's Beginning To Look A Lot Like Christmas,33,33,4,2020-12-26
5101,2,Mariah Carey,All I Want For Christmas Is You,1,1,42,2020-12-26
2305,6,Drake,Toosie Slide,6,1,9,2020-06-13
2176,77,Kenny Chesney,Here And Now,59,59,7,2020-05-30
4556,57,Jameson Rodgers,Some Girls,45,29,13,2020-11-14
3066,67,Keith Urban,God Whispered Your Name,74,60,14,2020-08-01
4185,86,Polo G,Martin & Gina,71,61,10,2020-10-17
3181,82,Juice WRLD X Halsey,Life's A Mess,42,9,4,2020-08-08
1309,10,Arizona Zervas,Roxanne,6,4,21,2020-04-04
1651,52,Russ & BIA,BEST ON EARTH,49,46,19,2020-04-25
4977,78,Bad Bunny,Booker T,0,78,1,2020-12-12
2099,100,Noah Cyrus & Leon Bridges,July,0,85,10,2020-05-23
2740,41,BENEE Featuring Gus Dapperton,Supalonely,42,39,16,2020-07-11
1603,4,Dua Lipa,Don't Start Now,4,2,24,2020-04-25
2679,80,The Weeknd,In Your Eyes,67,16,14,2020-07-04
2132,33,Jonas Brothers Featuring Karol G,X,0,33,1,2020-05-30
3216,17,Juice WRLD x Marshmello,Come & Go,17,2,4,2020-08-15
976,77,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,84,77,3,2020-03-07
2337,38,Billie Eilish,Everything I Wanted,35,8,30,2020-06-13
3699,100,Rod Wave,Girl Of My Dreams,87,65,16,2020-09-12
236,37,Wale Featuring Jeremih,On Chill,39,22,22,2020-01-18
3649,50,Lil Baby & 42 Dugg,We Paid,44,10,18,2020-09-12
4942,43,Surf Mesa Featuring Emilee,ily,33,23,28,2020-12-12
4192,93,Polo G,Epidemic,47,47,2,2020-10-17
3323,24,Taylor Swift,Cardigan,8,1,3,2020-08-22
1676,77,Luke Bryan,What She Wants Tonight,62,46,17,2020-04-25
1514,15,Maroon 5,Memories,13,2,29,2020-04-18
923,24,Lil Baby,Woah,28,16,16,2020-03-07
341,42,Jonas Brothers,Sucker,34,1,41,2020-01-25
874,75,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,63,28,12,2020-02-29
1684,85,Noah Cyrus & Leon Bridges,July,97,85,7,2020-04-25
4671,72,Polo G,Martin & Gina,81,61,15,2020-11-21
2446,47,Lil Baby,Emotionally Scarred,52,31,15,2020-06-20
1755,56,Travis Denning,After A Few,55,55,4,2020-05-02
4859,60,Juice WRLD x Marshmello,Come & Go,47,2,20,2020-12-05
2485,86,"NAV, Gunna & Travis Scott",Turks,89,17,11,2020-06-20
2956,57,Megan Thee Stallion,Girls In The Hood,51,28,3,2020-07-25
3799,100,Ariana Grande & Justin Bieber,Stuck With U,91,1,18,2020-09-19
445,46,Old Dominion,One Man Band,36,20,22,2020-02-01
5129,30,Ava Max,Kings & Queens,22,13,19,2020-12-26
1882,83,YoungBoy Never Broke Again,Ain't Easy,0,83,1,2020-05-09
4643,44,Miley Cyrus,Midnight Sky,82,14,13,2020-11-21
2067,68,Kehlani,Toxic,0,68,1,2020-05-23
1776,77,JP Saxe Featuring Julia Michaels,If The World Was Ending,73,73,4,2020-05-02
4186,87,SZA Featuring Ty Dolla $ign,Hit Different,75,29,5,2020-10-17
195,96,Doja Cat,Candy,96,86,6,2020-01-11
2538,39,Maroon 5,Memories,32,2,39,2020-06-27
101,2,Maroon 5,Memories,9,2,15,2020-01-11
1772,73,Jordan Davis,Slow Dance In A Parking Lot,50,37,16,2020-05-02
1482,83,YoungBoy Never Broke Again,Make No Sense,96,57,20,2020-04-11
2735,36,Roddy Ricch Featuring Mustard,High Fashion,31,20,27,2020-07-11
1690,91,Lil Baby & 42 Dugg,Grace,100,48,7,2020-04-25
