,Book_name,Author_name,reviews
0,RISE: Essential Soft-Skills for Career Management,Rajeev Nanda,4.4
1,Don't Believe Everything You Think (English),Joseph Nguyen,4.5
2,Days at the Morisaki Bookshop : A charming and uplifting Japanese translated story on the healing power of books,Satoshi Yagisawa,4.4
3,The Art of Laziness: Overcome Procrastination and Boost Your Productivity,Library Mindset,4.5
4,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) : Perfect Motivational Gift Set,Dale Carnegie,4.5
5,Start Living Again,Saranya Umakanthan,4.3
6,The Psychology of Money,Morgan Housel,4.6
7,As a Man Thinketh,James Allen,4.4
8,The Power of Your Subconscious Mind,Joseph Murphy,4.5
9,The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,Brianna Wiest,4.3
10,Things No One Taught Us About Love: How to Build Healthy Relationships with Yourself and Others,Vex King,4.7
11,Mahagatha: 100 Tales from the Puranas,Satyarth Nayak,4.7
12,The Psychology of Money,Morgan Housel,4.6
13,Success Through A Positive Mental Attitude,Napoleon Hill,4.5
14,"Why I am an Atheist and Other Works | Letters & Jail Diary of Bhagat Singh on Revolution, Religion & Politics",Bhagat Singh,4.6
15,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) : Perfect Motivational Gift Set,Dale Carnegie,4.5
16,11 Rules For Life: Secrets to Level Up,Chetan Bhagat,4.6
17,The Theory Of Everything,Stephen Hawking,4.5
18,The Satvic Revolution: 7 Life-Changing Habits to Discover Peak Health and Joy,Subah Saraf,4.8
19,Win Your Inner Battles,Darius Foroux,4.5
20,The Girl Who Drank the Moon,Kelly Barnhill,4.5
21,How to Win Friends and Influence People : Original Edition | Premium Paperback,Dale Carnegie,4.5
22,The Psychology of Money,Morgan Housel,4.6
23,The Wealth Money Can't Buy: The 8 Hidden Habits to Live Your Richest Life,Robin Sharma,4.6
24,The Monk Who Sold His Ferrari,Robin Sharma,4.5
25,Chanakya Neeti,Radhakrishnan Pillai,4.5
26,How to Stop Worrying and Start Living by Dale Carnegie,Dale Carnegie,4.5
27,Success Through A Positive Mental Attitude,Napoleon Hill,4.5
28,"How to Stop Worrying and Start Living [Original Edition (Complete), Premium Paperback]",Dale Carnegie,4.5
29,"THE SILENT PATIENT [Paperback] Michaelides, Alex",Alex Michaelides,4.5
30,Jaico Publishing House The 5 Am Club,Robin Sharma,4.5
31,As a Man Thinketh,James Allen,4.4
32,How to Develop Self-Confidence & Influence People By Public Speaking,Dale Carnegie,4.4
33,Beyond Good And Evil,Friedrich Nietzsche,4.4
34,How to Win Friends and Influence People: Original Classic Edition | Premium Paperback,Dale Carnegie,4.5
35,"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things [Paperback] Foroux, Darius",Darius Foroux,4.4
36,"Deep Work: Rules for Focused Success in a Distracted World [Paperback] Newport, Cal",Cal Newport,4.5
37,The Housemaid : An addictive psychological thriller with mind-bending twists,Freida McFadden,4.4
38,The Compound Effect,Darren Hardy,4.6
39,Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,Thibaut Meurisse,4.4
40,Autobiography of A Yogi,Paramahansa Yogananda,4.6
41,The Alchemist,Paulo Coelho,4.6
42,Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,Thibaut Meurisse,4.4
43,"Three Thousand Stitches: Ordinary People, Extraordinary Lives [Paperback] Murty, Sudha",Murty Sudha,4.6
44,THE BLUE UMBRELLA,Ruskin Bond,4.5
45,The Monk Who Sold His Ferrari,Robin Sharma,4.5
46,"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty [Paperback] Sudha Murty",Murty Sudha,4.6
47,"Read People Like a Book: How to Analyze, Understand, and Predict People’s Emotions, Thoughts, Intentions, and Behaviors",Patrick King,4.3
48,How to Win Friends and Influence People : Original Edition | Premium Paperback,Dale Carnegie,4.5
49,"Why I am an Atheist and Other Works | Letters & Jail Diary of Bhagat Singh on Revolution, Religion & Politics",Bhagat Singh,4.6
50,"How to Stop Worrying and Start Living [Original Edition (Complete), Premium Paperback]",Dale Carnegie,4.5
51,Chanakya Neeti,Radhakrishnan Pillai,4.5
52,Who Will Cry When You Die?,Robin Sharma,4.4
53,I Don't Love You Anymore: Moving On and Living Your Best Life | National Bestseller by Rithvik Singh | Original Edition,Rithvik Singh,4.1
54,The Monk Who Sold His Ferrari,Robin Sharma,4.5
55,The Law of Success In Sixteen Lessons,Napoleon Hill,4.5
56,The Wealth Money Can't Buy: The 8 Hidden Habits to Live Your Richest Life,Robin Sharma,4.6
57,Your Brain on Art: How the Arts Transform Us,Susan Magsamen,4.5
58,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",Maple Press,4.4
59,Night Train at Deoli and Other Stories,Ruskin Bond,4.5
60,The End of Reality,Jonathan Taplin,4.2
61,"Stop Negative Thinking: How To Control Your Thoughts, Stop Overthinking, And Transform Your Mental Habits (English)",Nick Trenton,4.4
62,101 Essays That Will Change The Way You Think,Brianna Wiest,4.3
63,One Arranged Murder,Chetan Bhagat,4.3
64,"Story Books for Kids (Set of 10 Books) (Illustrated) - World and Indian Scientists - Biographies for Children - 6 Years to 10 Years Old - Einstein, Newton, Galileo Galilei, Marie Curie, Charles Darwin, CV Raman, Homi Bhabha, Ramanujan, Vikram Sarabhai, Abdul Kalam",Maple Press,4.6
65,Miracles of Your Mind,Dr. Joseph Murphy,4.4
66,Operation Payback,Aditi Mathur Kumar,4.5
67,The Quick And Easy Way To Effective Speaking,Dale Carnegie,4.3
68,"Why I am an Atheist and Other Works | Letters & Jail Diary of Bhagat Singh on Revolution, Religion & Politics",Bhagat Singh,4.6
69,The Quick And Easy Way To Effective Speaking,Dale Carnegie,4.3
70,Chanakya Neeti,Radhakrishnan Pillai,4.5
71,The Monk Who Sold His Ferrari,Robin Sharma,4.5
72,The Wealth Money Can't Buy: The 8 Hidden Habits to Live Your Richest Life,Robin Sharma,4.6
73,The Importance of Being Earnest,Oscar Wilde,4.5
74,Great Truths That Set Us Free,Dr. Joseph Murphy,4.3
75,The Pickpocket and the Gargoyle,Lindsay Eagar,3.7
76,MTG International General Knowledge Olympiad (IGKO) Workbook for Class 4 - MCQs & Achievers Section - SOF IGKO Olympiad Preparation Books For 2024-2025 Exam,RAGHAV SINGH,4.0
77,1001 Ultimate Brain Booster Activities for 4+ Years Old Kids |Enhance the Child Mind with Cognitive Excellence with Interactive Activity Book,Team Pegasus,4.6
78,My First 365 Coloring Book: Jumbo Coloring Book For Kids (With Tear Out Sheets),Wonder House Books,4.5
79,The Performance Paradox: How to Learn and Grow Without Compromising Results,Eduardo Briceno,4.3
80,101 Essays That Will Change The Way You Think,Brianna Wiest,4.3
81,The Compound Effect,Darren Hardy,4.6
82,How to Change Your Life,Jake Humphrey,4.4
83,Wings Of Fire An Autobiography,Arun Tiwari,4.6
84,BlackBook of English Vocabulary May 2024 by Nikhil Gupta,Nikhil Gupta,4.4
85,"LEADING THROUGH INFLATION, RECESSION AND STAGFLATION",Ram Charan,4.4
86,"Read People Like a Book: How to Analyze, Understand, and Predict People’s Emotions, Thoughts, Intentions, and Behaviors",Patrick King,4.3
87,The Science of Getting Rich with The Science of Being Great,Wallace D. Wattles,4.5
88,"Why I am an Atheist and Other Works | Letters & Jail Diary of Bhagat Singh on Revolution, Religion & Politics",Bhagat Singh,4.6
