url,weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart,year,month,day
http://www.billboard.com/charts/hot-100/1961-12-23,12/23/1961,49,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,3,58.0,29,19,1961,12,23
http://www.billboard.com/charts/hot-100/2017-01-07,1/7/2017,48,IT'S THE MOST WONDERFUL TIME OF THE YEAR,Andy Williams,It's The Most Wonderful Time Of The YearAndy Williams,1,,48,1,2017,1,7
http://www.billboard.com/charts/hot-100/1980-12-13,12/13/1980,91,WHAT CAN YOU GET A WOOKIEE FOR CHRISTMAS (WHEN HE ALREADY OWNS A COMB?),The Star Wars Intergalactic Droid Choir & Chorale,What Can You Get A Wookiee For Christmas (When He Already Owns A Comb?)The Star Wars Intergalactic Droid Choir & Chorale,1,,69,6,1980,12,13
http://www.billboard.com/charts/hot-100/1960-12-10,12/10/1960,64,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,1,,14,18,1960,12,10
http://www.billboard.com/charts/hot-100/1964-01-25,1/25/1964,43,PRETTY PAPER,Roy Orbison,Pretty PaperRoy Orbison,1,26.0,15,7,1964,1,25
http://www.billboard.com/charts/hot-100/2011-12-31,12/31/2011,32,MISTLETOE,Justin Bieber,MistletoeJustin Bieber,2,34.0,11,10,2011,12,31
http://www.billboard.com/charts/hot-100/1961-12-16,12/16/1961,84,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,2,85.0,14,18,1961,12,16
http://www.billboard.com/charts/hot-100/2015-01-03,1/3/2015,35,ALL I WANT FOR CHRISTMAS IS YOU,Mariah Carey,All I Want For Christmas Is YouMariah Carey,4,40.0,11,19,2015,1,3
http://www.billboard.com/charts/hot-100/1961-12-16,12/16/1961,45,JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,Jingle Bell RockBobby Rydell/Chubby Checker,1,71.0,21,7,1961,12,16
http://www.billboard.com/charts/hot-100/1963-12-07,12/7/1963,77,THE MARVELOUS TOY,The Chad Mitchell Trio,The Marvelous ToyThe Chad Mitchell Trio,1,87.0,43,9,1963,12,7
http://www.billboard.com/charts/hot-100/1961-12-23,12/23/1961,47,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,3,63.0,39,15,1961,12,23
http://www.billboard.com/charts/hot-100/2016-01-02,1/2/2016,38,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,5,44.0,14,18,2016,1,2
http://www.billboard.com/charts/hot-100/1969-12-27,12/27/1969,41,WINTER WORLD OF LOVE,Engelbert Humperdinck,Winter World Of LoveEngelbert Humperdinck,1,48.0,16,12,1969,12,27
http://www.billboard.com/charts/hot-100/1963-11-30,11/30/1963,87,THE MARVELOUS TOY,The Chad Mitchell Trio,The Marvelous ToyThe Chad Mitchell Trio,1,,43,9,1963,11,30
http://www.billboard.com/charts/hot-100/2013-12-28,12/28/2013,27,ALL I WANT FOR CHRISTMAS IS YOU,Mariah Carey,All I Want For Christmas Is YouMariah Carey,3,26.0,11,19,2013,12,28
http://www.billboard.com/charts/hot-100/1978-12-09,12/9/1978,78,PLEASE COME HOME FOR CHRISTMAS,Eagles,Please Come Home For ChristmasEagles,1,,18,8,1978,12,9
http://www.billboard.com/charts/hot-100/1993-12-25,12/25/1993,53,LET IT SNOW,Boyz II Men,Let It SnowBoyz II Men,1,65.0,32,7,1993,12,25
http://www.billboard.com/charts/hot-100/1961-12-23,12/23/1961,85,PLEASE COME HOME FOR CHRISTMAS,Charles Brown,Please Come Home For ChristmasCharles Brown,1,,76,2,1961,12,23
http://www.billboard.com/charts/hot-100/2006-01-21,1/21/2006,90,BELIEVE,Brooks & Dunn,BelieveBrooks & Dunn,2,,60,20,2006,1,21
http://www.billboard.com/charts/hot-100/2011-01-01,1/1/2011,83,CHRISTMAS LIGHTS,Coldplay,Christmas LightsColdplay,1,35.0,25,3,2011,1,1
http://www.billboard.com/charts/hot-100/1964-01-11,1/11/1964,46,THE MARVELOUS TOY,The Chad Mitchell Trio,The Marvelous ToyThe Chad Mitchell Trio,1,47.0,43,9,1964,1,11
http://www.billboard.com/charts/hot-100/2010-12-25,12/25/2010,35,CHRISTMAS LIGHTS,Coldplay,Christmas LightsColdplay,1,25.0,25,3,2010,12,25
http://www.billboard.com/charts/hot-100/1980-12-20,12/20/1980,81,WHAT CAN YOU GET A WOOKIEE FOR CHRISTMAS (WHEN HE ALREADY OWNS A COMB?),The Star Wars Intergalactic Droid Choir & Chorale,What Can You Get A Wookiee For Christmas (When He Already Owns A Comb?)The Star Wars Intergalactic Droid Choir & Chorale,1,91.0,69,6,1980,12,20
http://www.billboard.com/charts/hot-100/1975-01-18,1/18/1975,60,WHEN A CHILD IS BORN,Michael Holm,When A Child Is BornMichael Holm,1,68.0,53,7,1975,1,18
http://www.billboard.com/charts/hot-100/1985-01-05,1/5/1985,20,DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,Do They Know It's Christmas?Band-Aid,1,65.0,13,9,1985,1,5
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/1960,32,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,3,55.0,12,13,1960,12,17
http://www.billboard.com/charts/hot-100/2011-01-01,1/1/2011,100,OH SANTA!,Mariah Carey,Oh Santa!Mariah Carey,1,,100,1,2011,1,1
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/1960,60,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,2,45.0,39,15,1960,12,24
http://www.billboard.com/charts/hot-100/1979-01-13,1/13/1979,18,PLEASE COME HOME FOR CHRISTMAS,Eagles,Please Come Home For ChristmasEagles,1,18.0,18,8,1979,1,13
http://www.billboard.com/charts/hot-100/1998-01-10,1/10/1998,87,GRANDMA GOT RUN OVER BY A REINDEER,Elmo & Patsy,Grandma Got Run Over By A ReindeerElmo & Patsy,1,,87,1,1998,1,10
http://www.billboard.com/charts/hot-100/1964-11-21,11/21/1964,96,AMEN,The Impressions,AmenThe Impressions,1,,7,11,1964,11,21
http://www.billboard.com/charts/hot-100/2014-12-27,12/27/2014,64,SANTA TELL ME,Ariana Grande,Santa Tell MeAriana Grande,1,92.0,42,5,2014,12,27
http://www.billboard.com/charts/hot-100/1974-12-28,12/28/1974,92,CHRISTMAS DREAM,Perry Como,Christmas DreamPerry Como,1,97.0,92,2,1974,12,28
http://www.billboard.com/charts/hot-100/1985-01-12,1/12/1985,15,DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,Do They Know It's Christmas?Band-Aid,1,20.0,13,9,1985,1,12
http://www.billboard.com/charts/hot-100/1993-12-18,12/18/1993,65,LET IT SNOW,Boyz II Men,Let It SnowBoyz II Men,1,66.0,32,7,1993,12,18
http://www.billboard.com/charts/hot-100/1970-01-17,1/17/1970,23,WINTER WORLD OF LOVE,Engelbert Humperdinck,Winter World Of LoveEngelbert Humperdinck,1,31.0,16,12,1970,1,17
http://www.billboard.com/charts/hot-100/2006-01-28,1/28/2006,86,BELIEVE,Brooks & Dunn,BelieveBrooks & Dunn,2,90.0,60,20,2006,1,28
http://www.billboard.com/charts/hot-100/1958-12-20,12/20/1958,57,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,1,,29,19,1958,12,20
http://www.billboard.com/charts/hot-100/2017-01-07,1/7/2017,46,A HOLLY JOLLY CHRISTMAS,Burl Ives,A Holly Jolly ChristmasBurl Ives,1,,46,1,2017,1,7
http://www.billboard.com/charts/hot-100/1985-01-19,1/19/1985,13,DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,Do They Know It's Christmas?Band-Aid,1,15.0,13,9,1985,1,19
http://www.billboard.com/charts/hot-100/2011-01-08,1/8/2011,99,SHAKE UP CHRISTMAS,Train,Shake Up ChristmasTrain,1,,99,1,2011,1,8
http://www.billboard.com/charts/hot-100/2012-12-22,12/22/2012,29,ALL I WANT FOR CHRISTMAS IS YOU,Mariah Carey,All I Want For Christmas Is YouMariah Carey,2,,11,19,2012,12,22
http://www.billboard.com/charts/hot-100/1974-01-26,1/26/1974,79,IT DOESN'T HAVE TO BE THAT WAY,Jim Croce,It Doesn't Have To Be That WayJim Croce,1,64.0,64,5,1974,1,26
http://www.billboard.com/charts/hot-100/1960-12-10,12/10/1960,69,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,2,,29,19,1960,12,10
http://www.billboard.com/charts/hot-100/2000-01-08,1/8/2000,83,ALL I WANT FOR CHRISTMAS IS YOU,Mariah Carey,All I Want For Christmas Is YouMariah Carey,1,,11,19,2000,1,8
http://www.billboard.com/charts/hot-100/1978-12-23,12/23/1978,20,PLEASE COME HOME FOR CHRISTMAS,Eagles,Please Come Home For ChristmasEagles,1,45.0,18,8,1978,12,23
http://www.billboard.com/charts/hot-100/1962-12-22,12/22/1962,67,THE CHRISTMAS SONG (MERRY CHRISTMAS TO YOU),Nat King Cole,The Christmas Song (Merry Christmas To You)Nat King Cole,2,75.0,38,8,1962,12,22
http://www.billboard.com/charts/hot-100/1981-01-10,1/10/1981,69,WHAT CAN YOU GET A WOOKIEE FOR CHRISTMAS (WHEN HE ALREADY OWNS A COMB?),The Star Wars Intergalactic Droid Choir & Chorale,What Can You Get A Wookiee For Christmas (When He Already Owns A Comb?)The Star Wars Intergalactic Droid Choir & Chorale,1,69.0,69,6,1981,1,10
http://www.billboard.com/charts/hot-100/1962-12-22,12/22/1962,55,SANTA CLAUS IS WATCHING YOU,Ray Stevens,Santa Claus Is Watching YouRay Stevens,1,77.0,45,3,1962,12,22
http://www.billboard.com/charts/hot-100/1994-01-15,1/15/1994,60,LET IT SNOW,Boyz II Men,Let It SnowBoyz II Men,1,32.0,32,7,1994,1,15
http://www.billboard.com/charts/hot-100/2016-01-09,1/9/2016,11,ALL I WANT FOR CHRISTMAS IS YOU,Mariah Carey,All I Want For Christmas Is YouMariah Carey,5,18.0,11,19,2016,1,9
http://www.billboard.com/charts/hot-100/1970-01-03,1/3/1970,35,WINTER WORLD OF LOVE,Engelbert Humperdinck,Winter World Of LoveEngelbert Humperdinck,1,41.0,16,12,1970,1,3
http://www.billboard.com/charts/hot-100/1964-12-12,12/12/1964,30,AMEN,The Impressions,AmenThe Impressions,1,43.0,7,11,1964,12,12
http://www.billboard.com/charts/hot-100/1973-12-08,12/8/1973,82,IF WE MAKE IT THROUGH DECEMBER,Merle Haggard,If We Make It Through DecemberMerle Haggard,1,92.0,28,11,1973,12,8
http://www.billboard.com/charts/hot-100/2001-01-06,1/6/2001,42,THE CHRISTMAS SHOES,NewSong,The Christmas ShoesNewSong,1,68.0,42,2,2001,1,6
http://www.billboard.com/charts/hot-100/2016-01-09,1/9/2016,38,THE CHRISTMAS SONG (MERRY CHRISTMAS TO YOU),Nat King Cole,The Christmas Song (Merry Christmas To You)Nat King Cole,4,,38,8,2016,1,9
http://www.billboard.com/charts/hot-100/1961-12-16,12/16/1961,58,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,3,68.0,29,19,1961,12,16
http://www.billboard.com/charts/hot-100/2005-12-24,12/24/2005,59,BETTER DAYS,Goo Goo Dolls,Better DaysGoo Goo Dolls,1,57.0,36,20,2005,12,24
http://www.billboard.com/charts/hot-100/1993-12-11,12/11/1993,66,LET IT SNOW,Boyz II Men,Let It SnowBoyz II Men,1,,32,7,1993,12,11
http://www.billboard.com/charts/hot-100/1973-12-29,12/29/1973,77,IT DOESN'T HAVE TO BE THAT WAY,Jim Croce,It Doesn't Have To Be That WayJim Croce,1,,64,5,1973,12,29
http://www.billboard.com/charts/hot-100/1960-01-09,1/9/1960,70,THIS TIME OF THE YEAR,Brook Benton,This Time Of The YearBrook Benton,1,75.0,66,5,1960,1,9
http://www.billboard.com/charts/hot-100/1960-01-02,1/2/1960,75,THIS TIME OF THE YEAR,Brook Benton,This Time Of The YearBrook Benton,1,77.0,66,5,1960,1,2
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/1960,58,CHRISTMAS AULD LANG SYNE,Bobby Darin,Christmas Auld Lang SyneBobby Darin,1,89.0,51,3,1960,12,24
http://www.billboard.com/charts/hot-100/2010-12-25,12/25/2010,57,"BABY, IT'S COLD OUTSIDE",Glee Cast,"Baby, It's Cold OutsideGlee Cast",1,,57,2,2010,12,25
http://www.billboard.com/charts/hot-100/1985-01-26,1/26/1985,17,DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,Do They Know It's Christmas?Band-Aid,1,13.0,13,9,1985,1,26
http://www.billboard.com/charts/hot-100/1959-01-03,1/3/1959,45,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,1,35.0,29,19,1959,1,3
http://www.billboard.com/charts/hot-100/1961-12-16,12/16/1961,63,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,3,,39,15,1961,12,16
http://www.billboard.com/charts/hot-100/1961-12-30,12/30/1961,50,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,2,58.0,14,18,1961,12,30
http://www.billboard.com/charts/hot-100/1981-01-31,1/31/1981,14,SAME OLD LANG SYNE,Dan Fogelberg,Same Old Lang SyneDan Fogelberg,1,19.0,9,18,1981,1,31
http://www.billboard.com/charts/hot-100/1985-01-12,1/12/1985,81,THE GREATEST GIFT OF ALL,Kenny Rogers,The Greatest Gift Of AllKenny Rogers,1,81.0,81,4,1985,1,12
http://www.billboard.com/charts/hot-100/1958-12-13,12/13/1958,83,RUN RUDOLPH RUN,Chuck Berry,Run Rudolph RunChuck Berry,1,,69,3,1958,12,13
http://www.billboard.com/charts/hot-100/2012-01-14,1/14/2012,53,MISTLETOE,Justin Bieber,MistletoeJustin Bieber,2,19.0,11,10,2012,1,14
http://www.billboard.com/charts/hot-100/1962-12-15,12/15/1962,70,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,5,,12,13,1962,12,15
http://www.billboard.com/charts/hot-100/2017-01-07,1/7/2017,50,LAST CHRISTMAS,Wham!,Last ChristmasWham!,1,,41,2,2017,1,7
http://www.billboard.com/charts/hot-100/1966-12-10,12/10/1966,97,I'LL BE HOME,The Platters,I'll Be HomeThe Platters,1,99.0,97,2,1966,12,10
http://www.billboard.com/charts/hot-100/1961-12-30,12/30/1961,39,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,3,47.0,39,15,1961,12,30
http://www.billboard.com/charts/hot-100/1964-01-25,1/25/1964,53,THE MARVELOUS TOY,The Chad Mitchell Trio,The Marvelous ToyThe Chad Mitchell Trio,1,43.0,43,9,1964,1,25
http://www.billboard.com/charts/hot-100/2014-01-04,1/4/2014,26,ALL I WANT FOR CHRISTMAS IS YOU,Mariah Carey,All I Want For Christmas Is YouMariah Carey,3,27.0,11,19,2014,1,4
http://www.billboard.com/charts/hot-100/1974-01-26,1/26/1974,41,IF WE MAKE IT THROUGH DECEMBER,Merle Haggard,If We Make It Through DecemberMerle Haggard,1,28.0,28,11,1974,1,26
http://www.billboard.com/charts/hot-100/1963-12-14,12/14/1963,60,PRETTY PAPER,Roy Orbison,Pretty PaperRoy Orbison,1,,15,7,1963,12,14
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/1960,96,WHITE CHRISTMAS,The Drifters Featuring Clyde McPhatter And Bill Pinkney,White ChristmasThe Drifters Featuring Clyde McPhatter And Bill Pinkney,1,,88,2,1960,12,17
http://www.billboard.com/charts/hot-100/1975-01-04,1/4/1975,73,WHEN A CHILD IS BORN,Michael Holm,When A Child Is BornMichael Holm,1,73.0,53,7,1975,1,4
http://www.billboard.com/charts/hot-100/1961-12-30,12/30/1961,45,LITTLE ALTAR BOY,Vic Dana,Little Altar BoyVic Dana,1,48.0,45,8,1961,12,30
http://www.billboard.com/charts/hot-100/1960-01-09,1/9/1960,93,THE HAPPY REINDEER,"Dancer, Prancer And Nervous","The Happy ReindeerDancer, Prancer And Nervous",1,45.0,34,6,1960,1,9
http://www.billboard.com/charts/hot-100/1978-12-16,12/16/1978,45,PLEASE COME HOME FOR CHRISTMAS,Eagles,Please Come Home For ChristmasEagles,1,78.0,18,8,1978,12,16
http://www.billboard.com/charts/hot-100/1968-12-21,12/21/1968,47,MY FAVORITE THINGS,Herb Alpert & The Tijuana Brass,My Favorite ThingsHerb Alpert & The Tijuana Brass,1,75.0,45,6,1968,12,21
http://www.billboard.com/charts/hot-100/1962-12-29,12/29/1962,45,SANTA CLAUS IS WATCHING YOU,Ray Stevens,Santa Claus Is Watching YouRay Stevens,1,55.0,45,3,1962,12,29
http://www.billboard.com/charts/hot-100/2008-01-05,1/5/2008,62,THIS CHRISTMAS,Chris Brown,This ChristmasChris Brown,1,74.0,62,5,2008,1,5
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/1960,36,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,2,46.0,29,19,1960,12,24
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/1960,54,SILENT NIGHT,Bing Crosby,Silent NightBing Crosby,1,64.0,54,2,1960,12,24
http://www.billboard.com/charts/hot-100/2009-12-19,12/19/2009,63,LAST CHRISTMAS,Glee Cast,Last ChristmasGlee Cast,1,,63,2,2009,12,19
http://www.billboard.com/charts/hot-100/1962-12-22,12/22/1962,92,JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,Jingle Bell RockBobby Rydell/Chubby Checker,2,97.0,21,7,1962,12,22
http://www.billboard.com/charts/hot-100/1990-01-06,1/6/1990,7,THIS ONE'S FOR THE CHILDREN,New Kids On The Block,This One's For The ChildrenNew Kids On The Block,1,9.0,7,16,1990,1,6
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/1960,45,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,2,66.0,39,15,1960,12,17
http://www.billboard.com/charts/hot-100/2007-12-29,12/29/2007,74,THIS CHRISTMAS,Chris Brown,This ChristmasChris Brown,1,96.0,62,5,2007,12,29
http://www.billboard.com/charts/hot-100/1962-12-22,12/22/1962,88,WHITE CHRISTMAS,The Drifters Featuring Clyde McPhatter And Bill Pinkney,White ChristmasThe Drifters Featuring Clyde McPhatter And Bill Pinkney,2,,88,2,1962,12,22
http://www.billboard.com/charts/hot-100/1998-01-24,1/24/1998,97,SANTA'S A FAT BITCH,Insane Clown Posse,Santa's A Fat BitchInsane Clown Posse,1,91.0,67,5,1998,1,24
http://www.billboard.com/charts/hot-100/1984-12-22,12/22/1984,65,DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,Do They Know It's Christmas?Band-Aid,1,,13,9,1984,12,22
http://www.billboard.com/charts/hot-100/1958-12-27,12/27/1958,44,GREEN CHRI$TMA$,Stan Freberg,Green Chri$tma$Stan Freberg,1,,44,2,1958,12,27
http://www.billboard.com/charts/hot-100/2005-12-24,12/24/2005,97,BELIEVE,Brooks & Dunn,BelieveBrooks & Dunn,1,,60,20,2005,12,24
